"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","FET Type","FET Feature","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) @ Vgs","Input Capacitance (Ciss) @ Vds","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
"http://www.onsemi.com/pub_link/Collateral/NTR5198NL-D.PDF","http://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg","NTR5198NLT1GOSCT-ND","NTR5198NLT1G","ON Semiconductor","MOSFET N-CH 60V 1.7A SOT23",2047,300000,"0.50000",1,1,"Cut Tape (CT)","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","60V","1.7A (Ta)","155 mOhm @ 1A, 10V","2.5V @ 250µA","2.8nC @ 4.5V","182pF @ 25V","900mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
"http://www.onsemi.com/pub_link/Collateral/NTR5198NL-D.PDF","http://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg","NTR5198NLT1GOSDKR-ND","NTR5198NLT1G","ON Semiconductor","MOSFET N-CH 60V 1.7A SOT23",2047,300000,"Calculate",1,1,"Digi-Reel®","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","60V","1.7A (Ta)","155 mOhm @ 1A, 10V","2.5V @ 250µA","2.8nC @ 4.5V","182pF @ 25V","900mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
"http://www.onsemi.com/pub_link/Collateral/NTGS4141N-D.PDF","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SC-74,%20SOT-457.jpg","NTGS4141NT1GOSCT-ND","NTGS4141NT1G","ON Semiconductor","MOSFET N-CH 30V 3.5A 6-TSOP",0,0,"0.52000",1,1,"Cut Tape (CT)","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","3.5A (Ta)","25 mOhm @ 7A, 10V","3V @ 250µA","12nC @ 10V","560pF @ 24V","500mW","Surface Mount","SC-74, SOT-457","6-TSOP"
"http://www.onsemi.com/pub_link/Collateral/NTGS4141N-D.PDF","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SC-74,%20SOT-457.jpg","NTGS4141NT1GOSDKR-ND","NTGS4141NT1G","ON Semiconductor","MOSFET N-CH 30V 3.5A 6-TSOP",0,0,"Calculate",1,1,"Digi-Reel®","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","3.5A (Ta)","25 mOhm @ 7A, 10V","3V @ 250µA","12nC @ 10V","560pF @ 24V","500mW","Surface Mount","SC-74, SOT-457","6-TSOP"
"http://www.semicon.toshiba.co.jp/info/docget.jsp?type=datasheet&lang=en&pid=SSM3K303T","http://media.digikey.com/Renders/Toshiba%20Renders/SC59.jpg","SSM3K303T(TE85LF)CT-ND","SSM3K303T(TE85L,F)","Toshiba Semiconductor and Storage","MOSFET N-CH SGL 30V 2.9A TSM",6356,0,"0.53000",1,1,"Cut Tape (CT)","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","2.9A (Ta)","83 mOhm @ 1.5A, 10V","2.6V @ 1mA","3.3nC @ 4V","180pF @ 10V","700mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","TSM"
"http://www.semicon.toshiba.co.jp/info/docget.jsp?type=datasheet&lang=en&pid=SSM3K303T","http://media.digikey.com/Renders/Toshiba%20Renders/SC59.jpg","SSM3K303T(TE85LF)DKR-ND","SSM3K303T(TE85L,F)","Toshiba Semiconductor and Storage","MOSFET N-CH SGL 30V 2.9A TSM",6356,0,"Calculate",1,1,"Digi-Reel®","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","2.9A (Ta)","83 mOhm @ 1.5A, 10V","2.6V @ 1mA","3.3nC @ 4V","180pF @ 10V","700mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","TSM"
"http://www.nxp.com/documents/data_sheet/PMZ760SN.pdf","http://media.digikey.com/Renders/NXP%20Semi%20Renders/SC-101_SOT-883.jpg","568-7443-1-ND","PMZ760SN,315","NXP Semiconductors","MOSFET N-CH 60V 1.22A SOT883",17734,0,"0.54000",1,1,"Cut Tape (CT)","TrenchMOS™","MOSFET N-Channel, Metal Oxide","Standard","60V","1.22A (Tc)","900 mOhm @ 300mA, 10V","3V @ 250µA","1.05nC @ 10V","23pF @ 30V","2.5W","Surface Mount","SC-101, SOT-883","SOT-883"
"http://www.nxp.com/documents/data_sheet/PMZ760SN.pdf","http://media.digikey.com/Renders/NXP%20Semi%20Renders/SC-101_SOT-883.jpg","568-7443-6-ND","PMZ760SN,315","NXP Semiconductors","MOSFET N-CH 60V 1.22A SOT883",17734,0,"Calculate",1,1,"Digi-Reel®","TrenchMOS™","MOSFET N-Channel, Metal Oxide","Standard","60V","1.22A (Tc)","900 mOhm @ 300mA, 10V","3V @ 250µA","1.05nC @ 10V","23pF @ 30V","2.5W","Surface Mount","SC-101, SOT-883","SOT-883"
"http://www.onsemi.com/pub_link/Collateral/NTR4503N-D.PDF","http://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg","NVTR4503NT1GOSCT-ND","NVTR4503NT1G","ON Semiconductor","MOSFET N CH 30V 1.5A SOT23",2854,0,"0.54000",1,1,"Cut Tape (CT)","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","1.5A (Ta)","110 mOhm @ 2.5A, 10V","3V @ 250µA","7nC @ 10V","135pF @ 15V","420mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
"http://www.onsemi.com/pub_link/Collateral/NTR4503N-D.PDF","http://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg","NVTR4503NT1GOSDKR-ND","NVTR4503NT1G","ON Semiconductor","MOSFET N CH 30V 1.5A SOT23",2854,0,"Calculate",1,1,"Digi-Reel®","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","1.5A (Ta)","110 mOhm @ 2.5A, 10V","3V @ 250µA","7nC @ 10V","135pF @ 15V","420mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
"http://www.fairchildsemi.com/datasheets/FD/FDN5630.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","FDN5630CT-ND","FDN5630","Fairchild Semiconductor","MOSFET N-CH 60V 1.7A SSOT3",15403,0,"0.55000",1,1,"Cut Tape (CT)","PowerTrench®","MOSFET N-Channel, Metal Oxide","Logic Level Gate","60V","1.7A (Ta)","100 mOhm @ 1.7A, 10V","3V @ 250µA","10nC @ 10V","400pF @ 15V","460mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
"http://www.fairchildsemi.com/datasheets/FD/FDN5630.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","FDN5630DKR-ND","FDN5630","Fairchild Semiconductor","MOSFET N-CH 60V 1.7A SSOT3",15403,0,"Calculate",1,1,"Digi-Reel®","PowerTrench®","MOSFET N-Channel, Metal Oxide","Logic Level Gate","60V","1.7A (Ta)","100 mOhm @ 1.7A, 10V","3V @ 250µA","10nC @ 10V","400pF @ 15V","460mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
"http://www.fairchildsemi.com/datasheets/ND/NDS351AN.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","NDS351ANCT-ND","NDS351AN","Fairchild Semiconductor","MOSFET N-CH 30V 1.4A SSOT3",48887,0,"0.56000",1,1,"Cut Tape (CT)","PowerTrench®","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","1.4A (Ta)","160 mOhm @ 1.4A, 10V","3V @ 250µA","1.8nC @ 4.5V","145pF @ 15V","460mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
"http://www.fairchildsemi.com/datasheets/ND/NDS351AN.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","NDS351ANDKR-ND","NDS351AN","Fairchild Semiconductor","MOSFET N-CH 30V 1.4A SSOT3",48887,0,"Calculate",1,1,"Digi-Reel®","PowerTrench®","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","1.4A (Ta)","160 mOhm @ 1.4A, 10V","3V @ 250µA","1.8nC @ 4.5V","145pF @ 15V","460mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
"http://www.diodes.com/datasheets/ZXMN3F30FH.pdf","http://media.digikey.com/Renders/Diodes%20Renders/SOT23.jpg","ZXMN3F30FHCT-ND","ZXMN3F30FHTA","Diodes Incorporated","MOSFET N-CHAN 30V SOT23-3",20971,0,"0.56000",1,1,"Cut Tape (CT)","-","MOSFET N-Channel, Metal Oxide","Logic Level Gate","30V","3.8A (Ta)","47 mOhm @ 3.2A, 10V","3V @ 250µA","7.7nC @ 10V","318pF @ 15V","950mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
